2397,2619,2695,2369,2697,2333,2271,2525,2220,2695,2697,2671,2697,2324,2695,2271,2695,2697,2271,2167,2484,2324,2602,2696,2695,2695,2697,2697,2695,2434,2695,2695,2586,2695,2697,2699,2697,2695,2695,2695,2400,2695,2649,2475,2167,2397,2695,2324,2697,2695,2695,2695,2695,2550,2697,2697,2369,2525,2271,2695,2400,2695,2697,2271,2695,2695,2687,2220,2525,2697,2695,2525,2696,2697,2695,2400,2695,2697,2655,2697,2556,2695,2697,2616,2333,2695,2371,2695,2671,2525,2397,2697,2655,2695,2695,2695,2695,2485,2569,2595,2695,2167,2556,2695,2595,2695,2271,2695,2695,2696,2400,2492,2271,2695,2687,2695,2697,2695,2484,2371,2695,2492,2695,2695,2695,2695,2697,2695,2697,2485,2569,2695,2616,2697,2649,2556,2697,2586,2569,2485,2657,2662,2697,2649,2546,2697,2484,2369,2697,2616,2616,2697,2695,2695,2695,2220,2550,2657,2371,2695,2400,2598,2475,2695,2475,2546,2695,2662,2695,2397,2695,2695,2586,2167,2695,2687,2697,2697,2695,2697,2371,2697,2559,2167,2695,2695,2695,2697,2492,2695,2695,2697,2695,2695,2475,2397,2695,2400,2662,2695
2200,2400,2200,2012,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2533,2450,2400,2200,2440,2200,2200,2200,2200,2200,2318,2200,2200,2200,2199,2200,2200,2200,2200,2200,2200,2200,2400,2234,2200,2200,2046,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2320,2200,2200,2200,2200,2200,2200,2200,2306,2200,2200,2200,2200,2200,2200,2200,2400,2200,2046,2200,2200,2012,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2046,2200,2200,2200,2200,2416,2200,2200,2200,2200,2200,2200,2200,2328,2200,2200,2200,2200,2200,2200,2368,2200,2200,2200,2200,2400,2200,2200,2200,2200,2200,2200,2494,2200,2200,2200,2200,2200,2200,2200,2199,2200,2200,2200,2200,2046,2200,2200,2012,2200,2199,2046,2200,2249,2200,2306,2200,2200,2417,2200,2200,2200,2012,2200,2417,2400,2200,2328,2200,2400,2200,2306,2200,2200,2200,2200,2400,2320,2200,2200,2400,2200,2200,2200,2200,2200,2200,2200,2200,2046,2314,2200,2200,2400,2400,2200,2200,2200,2200,2200,2046,2200,2200,2200,2362,2012,2046,2200,2400,2200,2476,2200,2200,2400,2400
2637,2304,2255,2373,2564,2369,2220,2255,2669,2324,2271,2255,2220,2255,2255,2215,2397,2695,2220,2397,2320,2586,2220,2255,2255,2502,2269,2478,2271,2255,2695,2465,2215,2695,2320,2255,2604,2397,2484,2255,2215,2443,2566,2373,2215,2443,2320,2327,2215,2670,2193,2452,2271,2550,2269,2255,2695,2288,2255,2356,2695,2438,2193,2333,2465,2215,2255,2695,2695,2695,2215,2220,2324,2324,2215,2502,2379,2215,2220,2215,2695,2193,2255,2193,2220,2255,2670,2478,2193,2400,2116,2324,2566,2271,2371,2591,2695,2695,2167,2304,2218,2324,2550,2215,2255,2400,2193,2271,2303,2578,2220,2303,2220,2438,2193,2271,2320,2695,2397,2167,2116,2255,2193,2255,2320,2167,2327,2478,2320,2333,2591,2695,2116,2303,2373,2255,2303,2116,2369,2520,2269,2567,2215,2215,2220,2371,2693,2397,2269,2695,2373,2578,2683,2255,2255,2525,2220,2167,2255,2215,2220,2215,2695,2695,2193,2218,2695,2695,2215,2193,2604,2591,2220,2695,2220,2288,2288,2369,2400,2220,2271,2695,2642,2695,2666,2167,2439,2220,2695,2356,2333,2220,2220,2215,2255,2695,2167,2167,2693,2255
2200,2012,2307,2046,2200,2440,2046,2012,2199,2318,2327,2234,2046,2307,2012,2012,2240,2199,2012,2046,2299,2046,2320,2199,2299,2200,2012,2199,2221,2328,2200,2046,2046,2012,2158,2012,2046,2229,2012,2046,2012,2046,2012,2046,2318,2199,2173,2476,2200,2046,2046,2046,2199,2012,2012,2200,2199,2200,2012,2012,2012,2487,2012,2200,2012,2012,2306,2046,2368,2012,2046,2046,2012,2012,2046,2046,2046,2046,2046,2320,2046,2199,2046,2046,2046,2012,2200,2046,2440,2012,2234,2012,2199,2046,2012,2200,2012,2012,2199,2240,2349,2046,2200,2288,2012,2012,2199,2306,2046,2431,2013,2199,2046,2221,2012,2199,2046,2288,2199,2229,2199,2200,2199,2046,2046,2046,2046,2046,2046,2199,2012,2012,2248,2012,2199,2046,2046,2012,2046,2012,2234,2234,2012,2400,2299,2199,2200,2046,2012,2350,2012,2046,2199,2199,2200,2234,2012,2046,2012,2199,2046,2173,2012,2012,2046,2012,2046,2200,2336,2307,2012,2012,2400,2046,2200,2012,2200,2046,2012,2299,2288,2046,2012,2200,2046,2200,2012,2012,2200,2200,2248,2199,2173,2158,2013,2012,2199,2200,2046,2173
2255,2220,2193,2215,2230,2116,2215,2215,2215,2193,2215,2193,2215,2215,2116,1969,2255,2167,2193,2193,2205,2215,2215,2193,2255,2077,2193,2215,2012,2193,2215,2215,2474,2206,2255,2060,2193,2193,2255,2193,2116,2123,2193,2116,2215,2215,2193,2193,2193,2206,2193,2215,2250,2193,2220,2310,2193,2193,2193,2193,2123,2116,2215,2215,2193,2255,2193,2123,2215,2116,2193,2193,2215,2250,2193,2167,2077,2193,2193,2230,2255,2215,2215,2215,2123,2111,2193,2231,2116,2060,2215,2193,2215,2255,2193,2310,2255,2116,2215,2215,2215,2255,2193,2205,1969,2215,2193,2193,2206,2204,2193,2116,2012,2206,1604,2077,2193,2215,2116,2193,2215,2012,2215,2193,2193,2193,2167,2193,2167,2255,2193,2116,2193,2123,2650,2060,2077,2193,2193,2193,2215,2215,2193,2193,2193,2060,2205,2255,2215,2271,2206,2193,2215,2215,2111,2116,2077,2193,2116,2123,2193,1969,2205,2193,2215,2116,2215,2206,2116,2255,2193,2255,2077,2116,2116,2116,2215,1604,2215,2193,2215,2215,2111,2193,2215,2193,2116,2116,2111,2193,2215,2215,2193,2193,2215,2193,2060,2215,2193,2215
2012,1982,2012,2012,2046,2012,2100,2012,2012,2012,1982,2012,2012,2012,2012,2046,2012,2012,2077,2012,2012,2046,2012,2012,2012,2046,1982,2199,2012,2012,2077,2199,2012,2012,2012,2012,2012,2199,2012,2012,2046,2012,2012,2013,2012,2012,2012,2012,2158,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2199,2012,2012,2012,2274,2012,2046,2012,2012,1982,2012,2012,2199,2012,2012,2012,2013,2012,2142,2012,2173,2046,2199,2199,1919,2046,2012,2234,2012,2012,2046,2012,2199,2046,2012,2234,2012,2012,2173,2012,2199,2012,2012,2012,2012,2012,2077,2013,2123,2012,2012,2012,2012,2012,2012,1982,2199,2012,2012,2046,2012,2012,2012,2077,2046,2012,2046,2012,2012,2012,2012,2012,2012,2012,2012,2123,2046,2012,2012,2012,2012,2199,2158,2012,2408,2012,2123,1982,2012,2077,2012,2199,2012,2046,2012,2012,2046,2012,2222,2012,2012,2012,2158,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2123,2013,2046,2012,2012,2012,2046,2012,2012,2012,2199,2012,1982,2012,2012,2123,2012,2199,2012,2046,2012,2123,1919,2077,2013
1604,2215,2060,2206,2215,2255,2215,2060,2215,2123,2215,2159,2206,2215,2077,2206,1604,2221,1604,2215,1604,2215,1604,2077,2215,2057,2215,2215,2193,2215,1906,2123,2123,2012,2215,2057,2215,2186,1906,2215,2193,2172,1906,2123,2215,2077,2123,2193,2215,1604,2012,1604,2193,2123,2022,2159,2215,1604,2022,2215,2123,2022,2215,2215,2172,2215,2215,2057,2215,2077,2215,2186,2215,2215,2077,2193,2012,2193,2022,1604,2123,1604,2206,2193,2193,2215,2215,2215,2193,2215,2215,2215,2060,2022,1604,2215,2215,2123,2123,2128,2215,2123,2159,2215,2215,2215,2215,2215,2057,2206,2215,1604,2193,2215,2123,2215,2193,2123,2215,1604,2123,2215,2215,2123,2123,2215,2215,2123,2057,2215,2215,2077,1604,2215,1604,2193,2215,2012,2215,2123,2215,2193,2060,2193,2193,2215,2193,2022,2123,2123,2057,2340,2022,2193,2215,1604,1604,1604,2193,2215,2215,2128,2215,2193,2123,2077,2077,2077,2215,2215,2172,2057,2215,2215,2123,2060,2012,2057,2123,2116,2215,2123,1604,2193,2215,2215,1604,2215,2221,1604,2193,2123,2123,1604,2159,2116,2215,1604,2215,2215
2012,1982,1919,1919,2012,2012,2012,2012,1919,1982,2012,2013,2012,2012,1982,1982,1919,1982,2199,1919,1982,2012,1982,1919,2012,2012,1982,2012,2012,2046,1982,2012,1919,2012,2012,1919,2077,2012,2012,1919,1982,1919,1919,2012,2012,2013,2123,2012,1982,1919,2012,2191,1982,2012,1919,1919,2012,2012,1982,2012,2123,1982,1982,2012,1982,1982,1982,1919,2077,1919,1919,2012,2012,2012,1982,1982,1982,1919,1919,2012,2077,2123,1982,1982,2012,1982,1982,2123,2012,2012,1982,1919,1919,1919,1982,1982,2012,2012,2012,1982,1919,2123,2012,1982,2022,2012,2012,1982,2012,1919,1982,1982,2012,2012,2012,2012,1982,2012,1982,1982,1982,1982,2123,2123,1919,1919,2013,2012,2012,1982,1982,2123,2012,2012,2012,1982,2012,1982,2012,1982,2199,1982,1982,2012,1919,1982,1982,1919,2012,2123,1919,2012,2012,2123,2012,2022,2012,2012,2012,1919,1919,2046,2012,2012,1982,1982,2012,1919,1982,1982,1919,2012,1982,2012,2012,1982,2012,1982,2012,1982,1982,1982,1982,1982,2012,1919,1982,1919,2012,1982,2012,2012,2012,1982,1919,2012,1982,2123,2012,2012
1604,1604,2172,2032,1604,1604,1604,2117,1604,2057,1604,2057,1604,2206,1948,1604,1604,1604,2057,1604,1604,1604,1604,2057,1604,1604,1604,1604,1948,1604,1604,1604,1604,2032,1604,1604,1604,1604,2206,2032,1604,2172,1604,2077,1604,1604,1604,2193,1604,2215,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,2215,1604,1604,1604,1604,2123,1604,2057,1604,1604,1604,1604,1604,2057,1604,1604,2057,1604,1604,1604,1604,1604,1604,1604,1604,1604,2057,2057,2057,1604,1604,1604,1604,1604,1604,2057,1604,1604,1604,1604,1604,1604,1604,2057,1604,2215,1604,2215,1604,1604,1604,2206,1604,1948,1604,1604,2057,1604,1604,1604,2057,1604,1604,1604,1604,1604,1604,1604,1604,2117,2486,2057,1604,2123,1604,1604,1604,1604,1604,1604,1604,2057,2057,1604,1604,1604,1604,1604,1604,1604,2215,2057,2057,1604,1604,1604,2206,1604,2057,1604,2057,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604,2057,2123,1604,2057,2057,1604,1604,1604,1604,1604,1604,2057,2057,1604,2057,2057,1604,1604,1604,1604
1982,1919,1982,1982,1982,1982,1919,1982,1919,1982,1982,1919,1982,1982,1982,1982,1982,2172,1919,1919,1982,1919,1919,1919,1982,1982,1982,2472,1849,1919,1982,1919,1982,1849,1982,1902,1982,1919,1919,1919,1982,1982,1982,1982,1982,1919,1982,1982,1919,1982,1982,1982,1982,1919,1919,1982,1947,1919,1947,1982,1982,1982,1919,1919,1982,1982,1982,1919,1982,1919,1982,1982,1919,1982,1982,1982,1919,1982,1919,1919,1982,1982,1947,1919,1919,1982,1982,1919,1982,1919,1982,1982,2207,1849,1919,1919,1982,1919,1982,1982,1982,1919,1982,1919,1982,1919,1919,1919,1849,1982,1919,1982,1919,1919,1982,1982,1919,2204,1919,1982,1982,1982,1919,1919,1982,1982,1982,1982,1919,1982,1982,1982,1919,1919,1902,1982,1919,1919,1982,1982,1919,1919,1982,1982,1919,1919,1947,1919,1982,1919,1919,1982,1982,1982,1982,1919,1902,1919,1982,1982,1982,1919,1919,1982,2012,1919,1919,1919,1902,1982,1919,1919,1849,1919,1982,1947,1947,1982,1982,1919,1919,1982,1982,1982,1982,1919,1982,1919,1919,1919,1982,1982,1919,1919,1982,1919,1919,1919,1982,1982
