2692,2692,2692,2692,2692,2704,2704,2540,2361,2144,2672,2144,2692,2692,2692,2354,2692,2361,2144,2692,2596,2457,2692,2462,2692,2587,2361,2395,2361,2457,2354,2704,2395,2690,2687,2635,2596,2690,2692,2704,2692,2692,2704,2692,2596,2704,2395,2704,2692,2692,2704,2590,2354,2692,2672,2270,2704,2692,2395,2692,2692,2635,2692,2592,2687,2462,2587,2704,2690,2704,2692,2692,2587,2692,2692,2692,2596,2144,2590,2587,2692,2361,2692,2692,2395,2704,2680,2687,2692,2408,2672,2361,2692,2700,2690,2692,2704,2690,2687,2354
1900,1900,1900,1900,1900,1900,1900,2312,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2692,1900,1900,1900,1900,1900,1900,2451,1900,1900,1900,1900,1900,1900,1900,1900,1900,2300,1900,1900,1900,1900,2367,1900,1900,1900,2572,1900,1900,1900,2367,1900,1900,2675,1900,1900,1900,1900,2300,1900,2479,1900,1900,1900,1900,2420,1900,1900,2480,1900,1900,2312,2312,1900,1900,2312,1900,1900,1900,1900,1900,2672,1900,1900,2660,1900,2367,1900,2527,1900,1900,1900,1900,2367,2570,1900,1900,1900,1900,1900,1900,1900
2659,2616,2692,2354,2692,2692,2361,2692,2395,2574,2249,2596,2574,2549,2249,2479,2594,2144,2144,2395,2144,2692,2487,2692,2659,2692,2402,2144,2144,2564,2635,2144,2361,2596,2692,2645,2249,2144,2395,2144,2549,2361,1900,1900,2588,2479,2144,2479,2574,2574,2549,2487,2692,2395,2395,2627,2692,2616,2692,2144,1900,2549,2616,2243,2361,2596,2249,2692,2249,2249,2487,2596,2249,2479,2144,2647,2476,2144,2243,2400,2613,2400,1900,2144,2144,2395,2627,2692,2692,2144,2144,2144,2400,2144,2549,2144,2671,2692,2596,2616
1900,1900,2367,2330,1900,1900,2340,1900,1900,1900,2286,1900,2312,1900,2330,1900,2367,1900,1900,2312,2479,2188,2300,2330,2330,1900,1900,2300,1900,1900,2312,2105,2300,2286,1872,2567,1900,2367,1900,2330,1900,1900,2367,1900,2367,1900,1900,2276,2316,2330,1900,2330,2276,1872,1900,1900,2105,1900,1900,2330,1900,2316,2367,1900,2420,2300,1900,2188,1900,1900,1872,1900,2312,1900,1900,2300,1900,2367,2330,1900,2276,2312,2312,1900,1900,2286,1900,2330,1900,1900,2286,1900,1900,1900,1900,1900,2105,2312,2367,2330
2410,2384,2479,2144,2165,2144,1947,2144,2144,2020,1947,1947,2157,2395,2020,1947,2165,2144,2395,2548,2144,2384,2165,2165,2071,2395,1947,2410,2144,2249,2020,1947,2692,2395,2384,2165,2144,2249,2396,2249,2249,2144,2144,1947,2552,2144,2604,2020,2396,2384,2144,2224,2220,1947,2144,2205,2020,2020,1947,2596,2020,2144,2394,2144,1880,2285,2144,2205,2157,1947,2602,2071,2400,2020,2071,2020,1880,2249,2396,2394,2144,1880,2395,2144,2144,2249,2144,1947,2395,2542,2395,2157,2071,2395,2163,2165,1947,2249,2249,2144
2188,2150,1872,1872,2105,2025,1900,2248,2188,2188,1872,2276,1872,2063,1872,1872,1872,2105,1872,1872,2150,2105,2188,1872,1872,2362,1872,2286,1872,2105,2367,2105,2025,1872,2215,1872,1900,2330,1872,2367,1872,2188,2215,2206,1872,2105,1872,1872,1900,1872,2105,2150,1872,1872,2137,2219,2188,2150,1872,2025,2188,1872,2034,1872,2008,1872,2063,1872,1872,2188,2137,1872,2244,1872,1872,1872,2034,2063,2188,2248,1872,1872,2150,1872,1872,1967,1872,2105,2367,1900,2286,2300,2105,1872,2089,1900,1872,1872,2105,1872
1947,1472,2165,1947,1947,2065,1947,1472,1947,1880,1880,1947,1880,1947,1947,1947,1947,1947,1880,1947,1880,1947,1947,1947,2020,1947,1947,1880,1947,1880,1947,1947,1947,1947,2065,2020,1947,1947,1947,1947,1880,1947,1947,2173,1947,1947,2443,1947,1947,2020,1947,1947,1880,2249,1947,1880,1880,1947,2020,2139,1947,1880,1947,1880,1947,1947,1947,1947,1947,1947,1947,1947,1947,1472,1947,1947,1472,1947,1947,1880,1947,1880,1947,1947,1947,2071,2020,1880,1947,1880,1947,1472,1880,1947,1947,1947,1947,1947,1880,1947
1872,2150,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,2065,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,2044,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,2203,1872,2150,1872
1947,1947,1947,1887,1947,1947,1947,1880,1947,1880,1947,1947,1947,1472,1924,1947,1947,1947,1880,1947,1947,1947,1947,1947,1924,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1880,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1947,1472,1947,1947,1947,1924,1947,1947,1947,1924,1947,1947,1947,1947,1926,1947,1947,1947,1924,1947,1947,1947,1947,1947,1947,1947,1947,1947,1926,1947,1947,1947,1947,1947,1880,1947,1880,1947,1947,1947,1924,1947,1947,1472,1947,1947,1947
1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1709,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1709,1777,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1709,1872,1872,1872,1872,1872,1872,1709,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872
