2451,2498,2696,2696,2696,2449,2696,2696,2696,2696,2649,2661,2502,2696,2696,2404,2696,2696,2404,2451,2455,2455,2696,2500,2696,2696,2696,2498,2696,2404,2498,2696,2696,2695,2596,2696,2696,2596,2696,2696,2696,2451,2456,2696,2696,2696,2596,2455,2696,2498,2595,2596,2696,2500,2696,2500,2696,2696,2498,2500,2694,2696,2596,2651,2696,2449,2451,2455,2696,2602,2456,2451,2696,2696,2696,2449,2696,2502,2696,2696,2696,2696,2695,2449,2696,2696,2602,2696,2696,2647,2400,2455,2451,2449,2455,2455,2500,2661,2696,2500
2300,2300,2300,2300,2300,2300,2300,2300,2300,2350,2300,2300,2500,2300,2260,2300,2300,2300,2300,2498,2300,2300,2351,2250,2300,2300,2260,2400,2399,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2250,2250,2300,2300,2300,2300,2300,2300,2260,2300,2300,2300,2300,2400,2300,2300,2300,2300,2300,2300,2350,2300,2300,2300,2400,2260,2300,2260,2300,2300,2300,2260,2300,2300,2260,2300,2260,2260,2300,2250,2415,2415,2250,2300,2300,2300,2300,2300,2300,2260,2300,2300,2300,2300,2300,2300,2300
2299,2500,2500,2451,2261,2250,2448,2306,2350,2166,2180,2163,2549,2423,2250,2250,2353,2366,2180,2451,2299,2449,2254,2354,2400,2500,2349,2300,2548,2354,2163,2166,2349,2250,2300,2354,2300,2500,2300,2350,2180,2250,2250,2595,2300,2306,2213,2500,2250,2349,2250,2448,2250,2250,2250,2400,2500,2156,2261,2306,2600,2400,2250,2259,2213,2500,2213,2299,2596,2300,2166,2696,2250,2450,2252,2500,2595,2180,2163,2254,2500,2500,2548,2213,2166,2163,2259,2696,2259,2156,2349,2350,2299,2250,2349,2549,2163,2254,2299,2261
2206,2250,2160,2223,2242,2158,2250,2136,2250,2207,2333,2134,2161,2262,2250,2250,2163,2115,2207,2158,2196,2163,2205,2348,2250,2115,2136,2154,2250,2300,2240,2206,2206,2196,2242,2158,2207,2115,2333,2136,2223,2162,2309,2141,2154,2141,2205,2242,2207,2154,2213,2196,2333,2207,2250,2012,2223,2115,2161,2162,2348,2163,2136,2012,2250,2357,2250,2214,2012,2012,2246,2300,2242,2220,2242,2184,2158,2136,2260,2134,2207,2250,2184,2205,2001,2223,2163,2184,2134,2223,2136,2260,2001,2012,2001,2214,2205,2250,2223,2001
2180,2180,2005,2180,2154,1909,2060,2016,2005,2160,2166,2160,2016,2016,2166,2219,2200,2189,2246,1909,2060,2219,2056,2005,1770,2180,2168,1770,2106,2070,2016,2010,2028,2015,2189,2005,2180,2216,2287,2180,2028,2016,2180,2160,2314,2144,2016,2060,1909,2028,2160,2005,2160,2070,2157,2144,2070,2156,2125,2156,2015,2173,2154,2162,2173,2028,2016,2160,1909,2109,2160,2168,2070,2180,2160,2076,1909,2056,2180,2106,2016,2216,2160,2060,2157,2016,2016,1909,2180,2168,2016,2028,2016,2016,2060,2160,2168,1770,2016,2144
1914,2016,2055,2016,2001,1981,1857,2001,2001,2001,2218,2001,1957,1913,2001,1918,2176,2134,1857,2001,2001,2001,1820,1957,1914,1970,2055,1918,2001,2006,1983,1983,2128,2055,2012,2001,2201,2160,2001,2001,1820,2001,2001,2001,2056,1957,2002,1970,1914,2001,2001,2001,2001,2001,2054,1820,2016,2001,2001,1996,2001,2025,1914,1981,2001,2001,2001,2001,1820,1957,1996,1914,1908,2006,1969,2001,2001,1969,1981,1996,1918,1913,2122,1913,2001,1983,1957,1918,1970,1908,2012,2001,2012,1957,2001,1914,2001,2001,1914,1983
1903,1985,1778,1819,1770,1909,2002,1898,2016,1908,1910,2037,1898,1770,1985,1964,2012,1825,2098,1909,1816,1887,1991,1931,1912,1816,1816,1937,1816,1825,1908,1985,1931,1887,1903,1819,1825,1816,1908,1985,1844,1770,1816,2002,1816,1816,1768,1931,1909,1955,2002,2016,1891,1770,1913,2131,1964,1998,1770,1909,1985,1909,2058,1955,1985,1955,1778,2016,1909,1816,2000,2000,1825,1912,1912,1912,1909,1768,1819,2016,1903,1891,1903,2016,1909,2002,1891,1816,1898,1991,1768,1898,1964,1931,1955,1931,2015,1955,1937,1819
1770,1942,1935,1911,1859,1957,1863,1972,1619,1859,1765,1915,1933,1619,1671,1935,1859,1818,1542,2121,1930,1946,1956,1958,1859,1946,1914,1915,1935,1961,1619,1767,2001,1619,1671,2001,1930,1770,1942,1765,1914,1671,1765,1765,2009,1770,1964,1770,1957,1865,1818,1914,1619,1838,1914,1946,1861,1972,1863,1915,1914,1911,1946,1935,2001,1863,1911,1767,1914,1859,1859,1958,1770,1770,1933,1861,1838,1957,1818,1935,1996,1957,1542,1859,1859,1978,2000,1721,1873,1983,1767,2000,1671,1946,1907,1935,1996,1542,1861,1671
1775,1800,1768,1929,1768,1861,1812,1898,1768,1670,1898,1812,1862,1809,1817,1903,1726,1768,1726,1875,1871,1860,1717,1768,1768,1716,1862,1903,1775,1768,1768,1726,1860,1817,1768,1959,1865,1768,1670,1956,2004,1817,1768,1875,1768,1865,1929,1768,1903,1825,1817,1716,1926,1871,1871,1800,1670,1903,1860,1928,1815,1959,1717,1716,1862,1903,1825,1726,1768,1775,1717,1775,1812,1898,1775,1812,1812,1860,1865,1670,1768,1716,1871,1903,1862,1827,1861,1860,1867,1726,1717,1812,1817,1825,1768,1716,1726,1865,1898,1817
1914,1765,1933,1794,1914,1914,1894,1542,1542,1912,1765,1935,1542,1542,1735,1904,1935,1723,1921,1794,1914,1542,1765,1819,1573,1822,1822,1542,1765,1916,1765,1542,1850,1894,2003,1528,1806,1904,1765,1782,1819,1768,1828,1914,1817,1542,1817,1528,1542,1542,1542,1542,1694,1723,1806,1861,1573,1542,1850,1694,1960,1914,1775,1794,1822,1822,1768,1528,1822,1794,1573,1723,1819,1694,1542,1794,1542,1767,1723,1819,1542,1904,1768,1542,1767,1914,1542,1914,2020,1542,1935,1542,1894,1765,1914,1858,1906,1735,1817,1542
