2614,2702,2702,2702,2702,2702,2702,2702,2436,2462,2702,2462,2702,2704,2592,2592,2702,2702,2702,2614,2702,2458,2702,2702,2702,2702,2702,2702,2458,2436,2436,2704,2436,2702,2702,2702,2462,2702,2460,2702,2702,2702,2702,2357,2702,2702,2702,2702,2458,2702
2554,2450,2369,2554,2556,2702,2451,2646,2566,2408,2700,2900,2369,2369,2466,2310,2506,2566,2651,2702,2451,2646,2556,2506,2512,2450,2702,2566,2550,2566,2310,2554,2506,2702,2704,2556,2702,2559,2554,2554,2662,2702,2702,2702,2554,2646,2310,2550,2512,2461
2456,2458,1869,2458,2433,2460,2462,2462,2418,2501,2501,2456,2530,2164,2436,2511,2462,2500,2418,2338,1869,2164,2164,2436,1869,2600,2458,2460,1869,2640,2625,2164,2164,2456,2500,2530,2433,2600,2670,2460,2625,2462,2164,2436,2418,2433,2782,2590,2458,2530
2369,2309,2235,2380,2309,2384,2425,2404,1995,2369,2380,1995,2515,2369,2430,2384,2090,2369,2250,2369,2506,2557,2506,1995,2506,1995,2500,2230,2369,2090,2506,2230,1957,2384,1995,2500,2373,1957,1995,2430,2250,2512,2090,2090,2451,2515,2480,2235,2369,1995
1869,1869,1869,2207,2207,2350,1869,2207,2318,2338,1869,2295,1869,2360,1869,2389,2436,2502,2283,2039,2456,2024,2360,2230,1869,2418,2582,2039,2207,2338,2283,2024,2450,2326,2285,2450,2360,1986,2504,1869,2459,1869,2207,1869,1869,2456,1869,1869,1869,2360
2384,2078,2078,1995,1957,2421,1995,2251,2235,1995,1995,2235,1995,2421,2070,1995,1995,2090,1995,2508,2090,2120,2310,2065,1995,2280,2210,1995,2114,1995,1995,2078,2120,1995,1995,1995,1995,2251,2114,1995,2071,1995,2105,1995,2105,2280,1995,2120,2090,2389
1869,1887,2114,2039,1869,1869,1869,1869,1869,2024,1869,1869,1869,1869,2163,2114,1869,1869,2264,1869,1869,2280,1869,2122,1869,2114,1869,2200,2239,1869,1869,1869,1986,1869,1869,2230,1869,1869,2072,2072,1869,1869,1869,1869,1869,1869,2024,2207,1887,2380
1995,1957,1995,1995,1995,1995,1995,1995,1913,1995,1995,1995,1995,1995,1957,1995,2243,1995,1995,1995,1995,1924,1913,2206,1957,1995,2009,1995,1924,1995,2090,1995,1913,1913,2240,1995,1924,1913,1957,1913,1995,1913,1995,1995,1913,1995,1995,1995,1995,2048
1869,2276,1869,2222,1869,1869,2198,1869,2299,2092,1869,1869,1869,1869,1869,2114,2044,2024,2207,2024,1869,2222,2288,1869,1869,1869,2024,1869,1869,1978,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869,2014,1869,2014,1869,1869,2024,1869,1869
1981,2090,1995,1995,1957,1995,1957,1995,1995,1995,1995,1995,1995,1995,1957,1957,1957,2034,1924,2090,1954,1995,1995,1995,1995,2107,1995,1995,1995,1995,1995,1957,1957,1995,2196,1995,1995,1980,1995,1961,2034,1995,1980,1980,1913,1957,1924,1995,1995,1954
