2371,2214,2618,2582,2618,2257,2489,2460,2206,2700,2533,2214,2623,2257,2351,2351,2552,2257,2696,2700,2578,2533,2654,2556,2700,2657,2383,2700,2700,2700,1963,2538,2489,2703,2288,2565,2700,2700,2394,2700,2700,2288,2703,2700,1963,2700,2555,2700,2700,2383,2206,2525,2214,2700,2371,2700,2700,2692,2624,2489,2257,2394,2701,2700,2700,2700,2700,2394,2565,2701,2700,2602,2257,2700,2700,2582,2700,2624,2700,2260,2700,2700,2460,2460,2700,2692,2556,2556,2700,2565,2701,2383,2456,2700,2489,2543,2700,1963,2214,2563,2556,2700,2700,2538,2538,2700,2525,2700,2654,2700,2602,2700,2513,2700,2700,2439,1963,2563,2549,2489,2288,2257,2700,2206,2257,1963,2618,2533,2578,2439,2257,2700,2555,2700,2214,2602,2351,2700,2700,2556,2351,2700,2700,2700,2565,2260,2700,2700,2700,2657,2696,2556,2638,2700,2700,2700,2525,2700,2700,2700,1963,2701,2701,2624,2549,2257,2700,2700,2439,2383,2489,2657,2700,2555,2700,2460,2456,2260,2700,2549,2700,2618,2552,2701,2460,2700,2206,2700,2700,2257,2700,2700,2383,2700,2623,2525,2489,2394,2611,2549
2450,2210,2040,2274,2229,2200,2375,2074,2040,2200,2375,2200,2375,2210,2542,2210,2679,2274,2229,2463,2460,2375,2200,2334,2376,2376,2307,2700,2452,2693,2274,2700,2395,2200,2510,2358,2457,2420,2626,2176,2074,2421,2040,2402,2200,2626,2040,2334,2200,2375,2458,2503,2537,2496,2274,1929,2450,2200,2559,2210,2537,2460,2358,2649,2210,2210,2502,2229,2367,2200,2536,2200,2342,2040,2537,2459,2210,2404,2568,2395,2607,2555,2400,2568,2200,2395,2460,2438,2375,2074,2478,2438,2358,2503,2537,2200,2553,2450,2210,2200,2505,2460,2452,2404,2358,2459,2074,2459,2515,2421,2274,2395,2496,2275,2537,2299,2200,2578,2421,2200,2274,2274,2400,2275,2376,2210,2454,2200,2537,2373,2229,2546,2375,2460,2496,2229,2040,2334,2307,2275,2200,2503,2400,2421,2537,2450,2697,2367,2500,2242,2375,2074,2274,2556,2367,2040,2342,2375,2176,2537,2400,2274,2402,2367,2588,2200,2200,2568,2363,2275,2210,2400,2400,2450,2229,2375,2537,2264,2229,2074,2649,2053,2546,2274,2274,2459,2200,2500,2200,2537,2367,2200,2053,2274,2537,2210,2176,2074,2363,2537
2257,1963,1963,2113,2240,2214,2240,2113,1964,1963,1963,2358,2222,2076,1963,2222,2212,1969,2305,2027,1963,1969,2214,2368,2113,2206,2214,2206,2257,1963,1963,1963,1963,2259,2240,1963,2206,1963,1963,2214,1963,2222,2201,2118,1963,2206,2027,2260,2206,2046,2212,2206,1963,2046,1963,2238,1963,2351,2118,2046,2206,2046,1963,2319,2206,2206,2240,2212,2259,2058,2118,1963,1963,2351,2147,2212,2240,2169,1963,2288,1931,2240,2232,2343,1778,2206,1931,2214,1963,1963,2168,1658,1963,1963,2235,1778,2259,2206,2305,1963,1963,2240,1931,1867,1963,1963,1963,2169,2206,2206,1963,2169,1658,1963,1658,2206,2250,2076,1963,2257,2232,1963,2090,1963,1963,1963,1931,2240,1658,2083,1963,2243,2002,1963,1963,2046,2206,1963,2206,1963,2259,2090,2206,1963,1963,1963,1931,1963,2212,2426,2274,2214,1963,1963,2168,2206,2147,1963,1963,2206,2214,1778,1963,2351,2062,2376,2118,2206,1964,2062,2206,2002,2206,1963,1963,1963,2083,1963,2240,1963,2027,1963,2206,1931,2206,2305,1867,2206,2206,2287,2214,2206,1963,1963,2235,2288,1963,2358,2206,1969
1993,2019,2074,2213,1903,1903,2074,1967,2200,2200,2200,2264,1903,2016,1983,2084,1903,2040,2126,2200,2172,2074,2259,2200,2200,1903,2200,1978,2274,2071,2016,1894,1967,2200,2074,2074,2062,2172,1903,2200,2200,2126,2168,2200,2016,2126,2200,2035,2200,2172,1983,2070,2126,2200,2200,2016,2200,2200,2200,2074,2016,2028,1903,2126,2070,2200,2240,1941,2200,2074,2016,2163,2090,2126,1894,1993,2110,2074,2200,2074,1992,1903,1983,2074,2028,2200,2053,2019,2200,2172,2172,2074,2040,1941,1967,2028,2200,1983,1903,2074,2200,2200,2016,2126,2200,2126,2385,1903,2200,2070,2200,1983,2200,1952,2229,2074,1952,2074,2200,1903,2200,2016,2016,2016,2172,2074,2200,1952,2200,2074,2200,2200,2074,2126,2074,1903,2200,2126,2084,2200,2200,2200,2200,1993,2274,2274,2084,2126,2200,1903,2200,2074,2200,2171,2200,2200,2200,2126,2200,2035,2285,2200,2074,2126,1967,2200,2200,1978,1903,2126,2074,2200,1894,2200,2172,2074,2259,2140,2200,1997,1978,1941,2074,2053,2126,2074,1903,2200,1983,1903,1903,2040,2200,2019,2200,2172,2200,1992,2053,2200
1658,1963,1963,1963,1963,2019,1963,1963,1963,1963,1658,1963,1963,1963,1963,1658,1823,1658,1963,1658,1658,1963,1969,1963,2002,1658,1963,2012,1963,1963,1658,1963,1963,1923,1658,1658,1658,1658,1963,1963,1963,1963,1658,1963,1963,1963,1658,1923,1969,1963,1658,1923,1963,1963,1658,1963,1923,1963,1658,1961,1963,1658,1963,1963,1658,1963,1658,1981,1963,2012,1963,1658,1963,2050,1963,1963,1658,1658,1963,1969,1963,2046,1963,1963,1961,1963,1963,1914,2002,1963,1963,1658,1963,1963,2080,1963,1963,1658,1658,1963,1923,1963,1923,2046,1963,1658,2046,1658,1658,2041,1658,1963,1658,2093,1963,1963,1931,1963,1931,1963,2020,1963,1963,1963,2024,1658,1658,1961,1823,1963,1823,1658,1963,1963,1963,1969,1963,1963,1879,1963,1658,1658,1963,2046,1658,2240,1963,1658,1658,1658,1658,2046,1963,2148,1923,1969,1963,1658,1963,1658,1963,1963,2002,1963,1963,2021,1963,1983,1658,1931,1963,1658,1963,2046,1969,1969,1658,1931,1963,1963,2043,1914,1931,1658,1658,1963,1658,1658,1931,1963,1914,1914,1963,1963,1963,1658,1658,2206,1658,1963
1903,1903,1903,1903,2098,1903,2053,2126,1983,1903,1779,1903,2200,1903,1903,1873,2200,2086,1983,1811,1873,1725,1845,1992,2086,1903,1903,1907,1903,1903,1903,1811,1903,1845,1903,2192,1903,1992,1781,1856,1903,1903,2086,1893,1903,1903,2065,1903,1903,2200,1903,1903,1903,2200,1903,1903,1903,1811,1811,1903,1779,1903,1781,1903,1997,1725,2126,1873,2200,2200,2126,1903,1903,2200,1903,2200,2016,1903,1873,2074,1903,1903,1903,1903,1903,1903,1856,1903,1903,1845,1970,1903,1811,1903,1811,1903,2139,1903,1903,1903,1873,1811,1903,1903,1893,1903,1903,1903,1903,1903,1893,1903,1903,2200,1811,2143,1903,2016,1903,2126,1725,1903,1811,1903,1903,1903,1903,1903,2086,1845,1903,1903,2115,1903,1903,1811,1903,2200,1903,2016,1903,1903,1903,1903,1903,1903,1903,1903,2135,1903,1917,2172,1903,1903,1903,1903,1903,2158,1856,1903,1903,1903,1903,1903,1903,1856,1811,1952,1903,1952,1903,1903,2142,2200,2200,1873,2200,1903,1903,1903,1917,2086,1903,1903,1845,1903,1873,1903,1903,1893,1903,1903,1903,1903,1811,1903,1903,2200,1903,1941
1658,1658,1658,1923,1658,1658,1658,1658,1823,1830,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1963,1658,1658,1658,1658,1658,1658,1658,1658,1658,1963,1963,1658,1963,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1747,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1879,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1975,1658,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1923,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1923,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1929,1658,1658,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1823,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658
1903,1851,1903,1903,1903,1903,1903,1903,1903,1903,1780,1903,1903,1903,1903,1903,1833,2105,1903,1811,1903,1903,1903,1573,1811,1811,1903,1903,1903,1903,1903,1780,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1811,1833,1811,1903,1903,1903,1903,1903,1903,1903,1903,1883,1903,1903,1903,1903,1903,1903,1903,1903,1903,1811,1903,1903,1903,1903,1903,1811,1903,1903,1903,1811,1903,1903,1883,1903,1903,1811,1903,1811,1903,1903,1903,1903,1903,1903,1903,1903,1811,1903,1903,1811,1903,1903,1903,1903,1811,1903,1883,1903,1903,1903,1903,1573,1903,1903,1903,1903,1903,1811,1811,1811,1903,1780,1883,1811,1903,1811,1903,1903,1903,1903,1903,1883,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1811,1903,1903,1883,1903,1903,1903,1903,1811,1903,1903,1883,1903,1903,1883,1903,1903,1903,1903,1903,1811,1811,1903,1903,1903,1903,1780,1903,1811,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1811,1903
1968,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1927,1658,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,2178,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1823,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658
1903,1903,1903,1903,1903,1824,1903,1903,1903,1903,1903,1903,1903,1903,1903,1868,1863,1811,1903,1903,1863,1903,1903,1903,1903,1903,1903,1903,1903,1903,1870,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1811,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1868,1903,1903,1903,1811,1903,1903,1903,1811,1903,1903,1903,1811,1903,1903,1903,1903,1841,1870,1903,1903,1903,1863,1903,1903,1903,1903,1903,1811,1903,1903,1863,1903,1903,1903,1903,1870,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1863,1903,1811,1903,1903,1903,1841,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1811,1903,1903,1903,1903,1903,1903,1903,1870,1811,1903,1903,1903,1903,1841,1903,1903,1903,1903,1903,1903,1870,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1870,1811,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1811,1903,1903,1903
