2699,2651,2521,2699,2699,2699,2552,2699,2699,2521,2699,2699,2699,2699,2699,2699,2475,2699,2396,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2699,2398,2699,2699,2699,2329,2699,2699,2699,2365,2583,2583,2252,2699,2699,2396,2475,2699,2699,2699,2699,2699,2396,2583,2365,2699,2699,2699,2651,2699,2699,2252,2653,2365,2651,2396,2699,2673,2365,2699,2699,2699,2699,2475,2699,2699,2699,2365,2651,2699,2701,2651,2699,2252,2365,2699,2521,2699,2699,2699,2521,2699,2699,2699,2699,2673,2699,2699,2699
2413,2413,2437,2413,2413,2351,2413,2600,2470,2413,2413,2460,2480,2413,2584,2600,2567,2413,2463,2413,2506,2437,2460,2413,2373,2460,2561,2024,2600,2351,2491,2355,2413,2437,2600,2460,2460,2024,2505,2460,2567,2600,2505,2024,2567,2567,2463,2600,2600,2270,2413,2460,2355,2600,2373,2413,2437,2461,2024,2480,2413,2413,2351,2460,2413,2600,2600,2600,2461,2491,2567,2413,2413,2024,2567,2413,2413,2413,2413,2600,2270,2413,2413,2413,2024,2024,2414,2413,2373,2571,2600,2495,2600,2413,2413,2413,2600,2600,2413,2505
2319,2365,2024,2356,2156,2024,2345,2365,2356,2319,2365,2482,2356,2365,2252,2252,2398,2024,2239,2239,2267,2365,2262,2024,2024,2310,2024,2365,2365,2024,2365,2252,2365,2024,2329,2345,2024,2356,2252,2024,2024,2463,2365,2365,2024,2396,2362,2024,2356,2239,2024,2469,2362,2267,2362,2024,2365,2365,2024,2362,2024,2156,2267,2365,2345,2320,2365,2374,2252,2024,2395,2024,2356,2365,2024,2239,2365,2365,2024,2365,2156,2310,2365,2239,2356,2024,2024,2239,2024,2365,2365,2475,2374,2329,2356,2024,2024,2258,2365,2024
2024,2024,2024,2024,2351,2024,2177,2437,2024,2024,2270,2379,2024,2024,2024,2024,2024,2024,2351,2024,2087,2024,2270,2024,2024,2087,2024,1645,2175,2024,2024,2270,2024,1645,2024,2024,2283,2024,2024,2351,2024,2196,2024,2024,2258,2024,2436,2024,2024,2024,2024,2024,2024,2270,2024,2024,2024,2024,2024,2024,2024,2024,2351,2024,2270,2351,2024,2273,2024,2024,1645,2024,2024,2024,2024,2024,2024,2270,2303,2024,1645,2024,2024,2024,2351,2024,2024,2024,2024,2024,2024,2024,2024,2413,2024,2024,2024,2024,2024,2024
2024,1992,2024,2024,2024,2016,2024,2024,2024,1992,2024,2024,2024,2016,2016,2024,1992,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,1992,2024,2024,2214,2024,2024,2024,2024,1992,2024,2024,1992,2024,2284,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,1992,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2016,2024,2024,2024,1992,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,1992,2024,2024,1992,2024,2024,2024,2024,2024
2024,2024,1645,2024,1645,1645,1645,2024,2024,1645,2024,2024,2021,2024,1645,1645,2024,2024,2024,1645,2024,2024,2024,2024,2024,2024,2024,2024,2024,1645,2024,2024,2024,1645,2024,2024,2024,2024,1645,2024,2024,2024,2024,2024,2024,1645,1645,2024,2024,1645,2024,1645,1645,1645,2024,1645,1645,2024,2024,1645,2024,1645,2024,2024,2024,1645,2024,1645,2024,2024,1645,1645,2024,2024,2024,2024,2024,2024,2024,1645,2024,2024,2024,2024,2024,1645,1645,2024,2024,2024,2024,2024,2021,2024,1645,2024,2024,1645,2024,2024
2024,1992,2024,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,2024,1992,1992,1992,1992,2024,2024,2024,1992,1992,1992,1992,2024,1992,1992,1992,2024,1992,1992,1992,1992,1992,1992,1992,2024,1992,1992,1992,1992,1992,2024,1992,2024,1992,1992,1992,1992,1992,2024,2024,1992,2024,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,2024,1992,2024,1992,1992,1992,1992,1992,2024,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,2024,1992,1992,2024,1992,1992,2024,1992,1992,1992,1992,2024,2024,1992
1645,1645,2024,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645
1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992
1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645
