2583,2777,2193,2680,2694,2866,1802,2631,2099,2550,2385,2099,2655,3076,2443,2175,2722,2775,2752,2099,2631,2641,1802,2413,2610,2610,2193,2694,2511,2099,2752,2764,2783,1802,2866,2413,2602,2413,2882,2775,2099,2377,2588,2583,2928,2175,2764,2610,1802,2193
2624,2364,2419,2364,2011,2364,2401,2364,2594,2650,2182,2428,2011,2599,2349,2600,2163,2356,2011,2182,2599,2251,2011,2011,2364,2302,2460,2356,2409,2359,2268,2419,2465,2163,2369,2011,2674,2465,2401,2364,2419,2465,2163,2011,2251,2401,2182,2364,1977,2011
2164,1802,2224,2099,2099,1802,1802,1802,2281,1802,2193,2175,2419,1971,2193,2099,2193,1802,2099,1802,1802,2099,1802,2314,2099,2405,2099,2258,2258,1802,1802,2280,1802,1971,2099,1971,1968,2237,2214,2099,2409,2214,1802,2194,2147,2099,2428,2099,2114,1802
2011,1975,2016,2011,1968,2268,2268,2227,2011,2011,2011,2011,2011,2016,2216,2011,2364,2364,2011,2027,1974,2151,2193,2011,2027,2364,1975,2011,2216,2364,2011,2011,2011,1974,2243,2061,2011,2162,2011,2011,2364,2148,2167,2425,2011,1974,2011,1932,2011,1975
1802,1802,2082,1857,1802,1802,2115,1993,2089,1802,1857,1802,1802,2268,1802,1802,2059,1802,2199,2115,1802,2050,1802,1802,1802,1802,1993,1802,2059,1802,1802,1857,2128,1802,2099,1802,2099,1802,1802,1857,1802,1802,1802,1802,1802,2363,1802,1899,2146,1802
2011,1967,2011,2207,1967,2198,2011,2011,2011,1967,2011,1827,2169,2011,1932,1963,2011,2011,2011,1827,2011,2011,2011,2286,2011,2011,1827,2011,2011,2011,2011,1932,2011,2027,2228,1967,2011,2011,2011,2011,2011,2011,1967,2364,1967,2011,2135,2011,2011,2306
1802,1802,1802,1802,1802,1985,1955,1802,1802,1990,1802,1802,1802,2108,2181,1802,1802,1802,1802,1802,1802,2309,1802,1857,1802,1802,1802,1802,1802,1802,1802,1857,1802,1802,1802,1802,1802,1802,1978,1802,1802,1857,1802,1802,1802,1802,1802,1802,1802,1802
2074,1863,2011,1863,2333,2011,2011,1963,1922,2011,2011,1967,2011,2011,1963,1963,1963,2051,1967,1963,2011,2068,2011,2011,2011,2011,2011,1874,1998,2011,2011,2011,2011,2011,1967,2011,1967,1967,2011,2011,2011,2117,2011,2011,2011,2011,2011,1874,2011,2011
1601,1802,1802,1802,1802,1857,1802,1923,1802,1802,2116,1802,1802,1802,1857,1802,1802,1857,1802,1802,1802,1601,1601,1802,1802,1802,1802,1601,1601,1857,2064,1802,1802,1802,1802,2113,1802,1857,1802,1802,1802,1802,1857,1802,1802,1802,1802,1802,2072,1601
2011,1972,1967,1967,2011,1891,2011,2011,2011,2011,2011,2011,2070,2011,1967,2011,1891,2011,2011,1747,1747,1967,2011,1891,2011,1967,2011,2011,1967,2011,1747,2011,2094,1972,2395,2011,1747,2011,2011,2011,1967,2011,1747,2223,2011,1967,2011,2011,2011,2011
1857,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1920,1802,1802,1802,1802,1802,1857,1802,1802,1802,1802,1802,1857,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1857,1802,1802,1802,1802,1802,1802,1802,1802,1802,1857,2189,1857,1802
1936,2011,1936,2000,2011,2011,1503,1967,2011,2011,1967,1981,2011,2011,1967,2011,2011,2011,1925,1967,2011,1936,2011,1936,2011,1967,2011,1925,1503,2011,2011,1967,1863,2011,2011,1503,2011,1863,1967,1967,1981,2011,1976,2011,2011,2011,1967,1967,1967,2011
2169,1802,1802,1802,1857,2119,1857,2051,1802,1802,1802,1802,1857,1980,1802,2019,1802,1802,1802,1857,1802,1802,2034,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,2154,1802,1802,1802,1802,1802,1802,1995,1802,1802,2188,1802,1802
2011,2011,1967,2011,2011,1503,2011,1901,2011,2011,2011,2011,2011,2011,2011,1949,1994,2011,2011,1967,2011,1884,2001,1949,2011,1967,1994,2239,2011,2001,2011,2011,2011,2011,2011,2011,1967,1901,2011,2322,1988,2011,1967,2011,1884,1994,1967,2011,1988,1994
1802,1817,1817,1802,1802,1802,2088,1802,2166,1802,1802,1802,1802,1802,1802,1802,1802,2256,1857,1802,1802,1802,2035,2179,1802,1802,1993,1802,1802,1802,2166,1802,1802,1802,1802,2179,1802,1817,1802,1802,1871,1857,1802,1993,2064,1802,1980,2106,1817,1802
2011,2011,1503,1942,1942,2011,1920,1902,2011,2011,1954,2110,1942,1922,1901,2011,2011,1901,1942,1954,1954,2043,1901,2011,2001,1503,2011,1983,1985,1832,2011,2011,1902,1920,1974,1503,1902,1920,1942,1920,2011,1832,2011,1983,1942,1942,2011,1983,1884,1884
1817,1802,1831,1831,1817,1876,1802,1910,1817,1802,1980,1802,1831,2157,1817,1831,1957,1817,1957,1802,1940,1913,1817,1913,1802,1802,1865,1876,1802,1802,1802,2189,2035,1980,1817,1910,1817,1802,1871,1979,2139,1868,1802,1802,1980,1831,1802,1802,2179,1868
1942,1503,1503,1942,1632,2009,1901,1902,1942,1942,2011,2011,1922,1883,1975,2118,2011,2118,1942,1830,1942,2011,1503,1942,1503,2011,1503,1503,1782,1942,2011,1503,2009,1902,1902,1882,1882,1782,1782,1902,1503,1975,1637,1993,2002,1942,1882,1942,2120,1782
1817,1980,1942,1817,1817,1700,1802,1980,2076,1802,1398,1802,1980,1817,1813,2076,1398,1817,1802,1910,2040,1897,1817,1802,1817,1802,1980,1817,1802,1700,1802,1931,1802,1817,1817,1817,2135,2042,1928,1980,2075,1802,2159,1802,1802,1802,1802,1700,1980,1910
1503,2006,1770,1937,1503,1782,1503,1942,1865,1902,1865,1503,1503,1860,1860,1937,1503,2011,2146,1942,1626,1770,1503,1503,1902,2006,1632,1822,1984,1942,2143,1942,1865,1503,1770,1822,1942,1865,1822,2011,1862,1503,1503,1503,1503,1503,1503,1902,1626,1503
1928,1928,1749,1802,1817,1980,1817,1928,1980,1980,2010,1813,1817,1659,1960,2010,1749,1998,1980,1960,1931,1980,1749,1960,1802,1764,1802,1659,1559,1559,1980,1858,1980,1813,1937,1659,1659,1858,1858,1817,1559,1764,1802,1910,1559,1559,1813,1980,1960,1960
1503,1632,1503,1503,1565,2023,1503,1846,1503,1503,1855,1503,1751,1632,1670,1632,1489,1942,1822,1565,1503,1503,1670,1770,1751,1632,1565,1632,1670,1937,1503,1632,1503,1503,1942,1822,1632,1489,1994,1503,1908,1503,2294,1770,1751,1770,1879,1928,1503,1632
1579,1803,1497,1729,1813,1817,2234,1980,1957,1497,1980,1813,1858,1955,1813,1779,1729,1497,1968,1813,1685,1503,1848,1813,1960,1817,1869,1636,2032,1980,1869,1858,1858,1559,1968,1779,1955,1861,1881,1906,1881,1579,1968,1779,1803,1926,1636,1729,1579,1813
1632,2011,1721,1805,1844,1489,2166,1579,1632,1632,1489,1643,1670,1632,2104,1632,1750,1579,1643,1632,1954,1632,1632,1890,1565,1643,1954,1632,1643,1643,1770,1643,1489,1805,1503,1531,1942,1531,1632,1846,1503,1565,1670,1750,1489,1632,1632,1618,1531,1632
1750,1659,1497,1651,1443,1813,1559,1701,1503,1648,1849,2025,1813,1497,1651,1648,1813,1785,1497,2001,1701,1869,1813,1559,1750,1907,1960,1785,1834,1659,1497,1813,1879,1813,1919,1813,1813,1813,1813,1750,1497,1750,1813,1648,1659,1813,2204,1869,1497,1813
1632,1632,1632,1923,1983,1670,1903,1750,1643,1632,1575,1632,1643,1750,1601,1632,1643,1750,1750,1531,1920,1670,1632,1949,1632,1632,1601,1670,1632,1632,1632,1750,1575,1575,1632,1643,1750,1632,1750,1750,1643,1575,1969,1750,1531,1643,1632,1601,1643,1955
2109,1750,1750,1813,1876,1497,1849,1497,1902,1813,1907,1497,1813,1984,1750,1813,1907,1497,1881,1497,1750,1869,1750,1813,1750,1750,1497,1849,1497,1915,1497,1881,1915,1497,1849,1813,1813,1497,1813,1497,1659,1813,1813,1497,1849,1750,1744,1750,1497,1497
1531,1750,1745,1736,1531,1531,1632,1601,1531,1632,1632,1745,1643,1643,2042,1632,1643,1649,1632,1643,1643,1750,1531,1750,1632,1632,1643,1643,1736,1643,1531,1892,1643,1750,1531,1601,1601,1531,1750,1505,1632,1531,1643,1531,1649,1750,1505,1643,1643,1880
2068,1813,1497,1750,1813,1813,1849,1884,1849,1497,1750,1625,1393,1750,1750,1497,1393,1750,1796,1744,1750,1497,1748,1750,1497,1750,1497,1750,1497,1497,1497,1909,1497,1750,1554,1497,1750,1554,1750,1497,1750,1625,1554,1497,1605,1985,1750,1750,1497,1813
1643,1750,1505,1841,1856,1747,1664,1643,1643,1643,1643,1717,1643,1717,1750,1531,1632,1632,1632,1643,1632,1643,1750,1632,1643,1616,1632,1750,1643,1750,1643,1747,1750,1643,1643,1872,1643,1505,1616,1643,1632,1760,1632,1643,1664,1750,1531,1750,1643,1856
1497,1750,1760,1750,1750,1807,1750,1653,1641,1807,1803,1750,1629,1712,1497,1750,1629,1750,1750,1639,1760,1497,1497,1750,1641,1807,1497,1750,1625,1629,1497,1849,1497,1653,1625,1625,1497,1653,1750,1641,1750,1497,1929,1750,1740,1497,1712,1760,1497,1750
1643,2029,1830,1643,1549,1643,1643,1750,1643,1505,1832,1629,1643,1861,1750,1643,1643,1643,1750,1643,1505,1830,1905,1643,1643,1622,1643,1643,1643,1310,1629,1770,1867,1643,1750,1549,1832,1750,1867,1622,1861,1873,1629,2020,1643,1643,1310,1549,1629,1643
1827,1744,1497,1497,1750,1750,1497,1750,1497,1497,1653,1597,1625,1750,1750,1650,1482,1497,1900,1807,1987,1653,1750,1932,1750,1625,1629,1750,1744,1750,1482,1827,1750,1807,1750,1750,1750,1497,1625,1650,1750,1750,1643,1497,1625,1653,1625,1650,1750,1750
1643,1750,1643,1750,1643,1629,1549,1832,1643,1938,1621,1643,1326,1505,1505,1549,1326,1643,1621,1750,1876,1371,1643,1643,1549,1643,1371,1505,1867,1643,1505,1951,1643,1505,1505,1505,1643,1750,1621,2126,1643,1371,1629,1643,1643,1643,1505,1879,1796,1861
1625,1482,1482,1625,1635,1750,1666,1750,1804,1497,1750,1482,1482,1718,1497,1813,1497,1625,1497,1625,1625,1625,1750,1750,1497,1625,1718,1497,1474,1482,1635,1497,1750,1635,1830,1750,1750,1625,1750,1625,1750,1474,1718,1497,1625,1482,1625,1750,1482,1497
