2722,2497,2351,2421,2540,2288,2222,2243,2436,2282,2617,2282,2152,2475,2346,2484,2587,2360,2599,2421,2503,2751,2300,2349,2548,2690,2266,2288,2476,2587,2349,2421,2227,2518,2579,2214,2359,2640,2351,2598,2337,2551,2278,2315,2243,2352,2493,2243,2337,2152,2439,2520,2359,2600,2266,2526,2337,2165,2351,2514,2227,2579,2687,2501,2421,2677,2349,2349,2456,2382,2222,2382,2266,2222,2346,2631,2278,2152,2628,2359,2113,2259,2392,2457,2549,2392,2503,2390,2351,2592,2288,2457,2227,2260,2421,2497,2300,2260,2316,2329,2259,2743,2337,2349,2165,2645,2526,2282,2175,2409,2152,2175,2501,2549,2484,2928,2644,2282,2482,2421,2752,2316,2390,2352,2520,2227,2152,2392,2493,2745,2259,2457,2349,2152,2619,2392,2337,2165,2282,2288,2227,2549,2439,2592,2675,2404,2551,2484,2349,2368,2745,2266,2564,2351,2817,2165,2501,2165,2715,2710,2227,2316,2351,2695,2421,2227,2337,2585,2409,2429,2350,2791,2113,2315,2243,2278,2351,2520,2220,2693,2266,2645,2436,2624,2288,2337,2259,2352,2337,2350,2351,2538,2260,2337,2113,2243,2476,2722,2551,2583
2243,2250,2367,2175,2266,2365,2175,2337,2281,2243,2175,2232,2175,2327,2076,2138,2250,2311,2281,2227,2197,2266,2266,2243,2243,2367,2138,2300,2261,2300,2243,2151,2267,2175,2450,2404,2337,2449,2348,2188,2343,2175,2243,2250,2175,2350,2232,2278,2197,2325,2227,2261,2281,2261,2281,2312,2227,2197,2243,2302,2250,2175,2243,2302,2212,2261,2261,2188,2600,2400,2267,2197,2367,2232,2266,2198,2367,2281,2076,2197,2585,2212,2250,2076,2300,2175,2175,2436,2188,2281,2232,2250,2350,2310,2325,2281,2278,2175,2188,2310,2151,2151,2261,2407,2266,2378,2188,2250,2243,2585,2281,2358,2300,2175,2281,2076,2243,2407,2350,2281,2175,2310,2266,2175,2281,2076,2138,2278,2151,2314,2197,2076,2281,2367,2310,2261,2281,2278,2267,2321,2175,2348,2188,2250,2593,2437,2281,2300,2278,2267,2175,2350,2350,2325,2387,2243,2281,2250,2261,2151,2266,2175,2175,2267,2578,2197,2188,2243,2197,2367,2500,2442,2138,2427,2312,2243,2232,2175,2575,2300,2243,2232,2310,2243,2278,2365,2175,2261,2520,2325,2248,2261,2281,2400,2417,2325,2197,2343,2261,2243
2227,2152,2107,2152,2152,1921,2243,2243,2113,2113,2107,2123,2227,2227,2260,2107,2152,2113,2152,2113,2220,2243,2337,2113,2276,2118,2152,2152,2152,2165,2243,2152,2243,2294,2113,2165,2152,2214,2165,2227,2220,2227,2165,2259,2227,2152,2113,2175,2165,2243,2152,2214,1921,2227,2113,2243,2243,2113,2400,2420,2113,2113,2220,2175,2222,2152,2113,2222,2506,2175,2227,2221,2107,2243,2200,2123,2113,2152,2152,2214,2346,2214,2123,2152,2113,2243,2152,2123,2152,2227,2152,2152,2152,2152,2200,2152,2123,2152,2200,2261,2165,2200,2200,2349,2165,2165,2152,2243,2227,2220,2113,2152,2222,2152,2227,2113,2227,2152,2227,2152,2165,2107,2222,2259,2123,2200,2165,2152,2152,2123,2260,2152,2165,2220,2123,2152,2222,2152,2152,2227,2152,2152,2113,2260,2113,2107,2123,2220,2107,2227,2243,2257,2349,2123,2200,1921,2107,2113,2113,2339,2107,2214,2152,2175,2175,2118,2243,2220,2337,2243,2243,2260,2294,2276,2266,2227,2113,2243,2349,2200,2113,2113,2243,2259,2220,2152,2165,2152,2152,2165,2243,2123,2227,2165,2227,2332,2222,2113,2152,2113
2076,2175,2188,2175,2175,2175,2175,2160,2151,2175,2160,2175,2151,2188,2151,2076,2175,2188,2175,2175,2076,2175,2039,2175,2039,2188,2160,2076,2175,1938,2339,2151,2039,2128,2039,2188,2076,2076,2175,2128,2175,2175,2188,2267,2175,2160,2128,2281,2151,2175,2076,2197,2188,2076,2076,2076,2188,2188,2039,2188,2076,2175,2076,2151,2310,2184,2076,2151,2232,2229,2243,2076,2076,2175,2151,2243,2175,2175,2243,2188,2160,2160,2184,2184,2076,2076,2175,2188,2191,2076,2229,2160,2175,2188,2039,2243,2039,2188,2178,2175,1938,1938,2175,2175,2175,2188,2184,2039,2175,2175,2175,2175,2188,2175,2175,2128,2128,2175,2076,2076,2076,2076,2076,2151,2585,2184,2175,2188,2188,2175,2151,2175,2188,2128,2175,2175,2175,2039,2175,2076,2076,2076,2188,2076,2076,2188,2076,2184,2151,2076,1938,2076,2188,2188,2188,2076,2184,2160,2188,2281,2175,2076,2175,2039,2076,2039,2175,2160,1938,2160,2175,2229,2175,2184,2184,2276,2175,2175,2076,2175,2151,2175,2175,2175,2175,2175,2175,2076,2175,2039,2197,2151,2151,2076,2076,2188,2188,2175,2175,2300
1658,2113,2107,2123,2123,1921,2107,2113,1921,2123,2123,1921,2107,1921,2113,2123,1921,1658,1940,2113,2107,1938,2113,1921,1921,1921,2107,1921,2107,1938,2113,1921,2078,1938,2107,1921,2107,2107,2113,2113,2152,2152,1921,2107,2107,2107,2107,2123,1921,2113,2107,1921,1921,2113,1938,2107,2113,2123,2113,2107,2113,1921,1921,2123,2113,2107,1938,1921,1940,1658,2123,2113,2113,1938,2107,2113,2113,1921,1940,2113,2107,1921,2107,2113,1658,1921,2107,2107,2123,1921,1921,1938,1921,2123,2113,1658,1921,2113,1921,2107,1921,2113,2123,2152,2123,2152,2113,1938,2107,2113,1921,2113,2107,2113,2113,1921,1921,1921,2107,2123,2123,2107,2123,1940,2152,2113,2123,2152,2107,2123,2107,2113,1658,2113,2123,2113,2107,2152,2113,2113,2113,2107,1921,1938,2107,2107,1921,1921,2123,2152,1921,2152,1921,1921,2123,1921,2107,2107,2123,1921,1940,2107,2113,2123,2123,1921,2123,1921,2113,1921,2152,2113,2113,2107,2107,1921,2123,2113,2107,2113,2113,2123,2113,1921,2107,1921,2113,2123,2152,1921,2152,2152,2113,1938,2107,2107,1921,2123,1921,2113
1740,2076,2039,2039,2039,2076,2039,2039,1938,1938,2076,2039,2039,2160,2076,2184,2039,2039,2076,2076,2039,2160,2076,2076,1938,2039,2039,2039,2039,1938,2039,1938,2039,2076,2039,1938,1740,1740,2160,2039,1938,2039,2039,1938,2039,2160,2076,2076,1740,2039,1938,2039,2039,2076,1938,2039,1938,1938,2160,1740,1740,2039,2188,2039,1740,2076,1740,2039,1938,2076,2039,2039,2160,1938,2039,2039,1740,1938,2188,2039,2039,2076,2039,2039,1740,2188,2039,2039,2039,1938,2039,2039,2039,2039,2039,1938,1740,1938,2039,2039,2039,1740,2076,2039,2160,1740,2039,1938,1938,2039,2039,2039,2039,1740,2039,1740,2039,2076,2039,1740,2039,2184,2039,2039,2039,2039,2160,2039,2039,2039,2039,2057,2076,2039,2039,2175,2076,2039,2076,2039,1938,2039,2076,2188,2039,2216,1938,2039,1740,2039,2076,2076,2039,1938,2039,1938,2039,1938,1938,2039,2160,2175,2076,2039,2184,1938,1984,1740,2039,2039,2076,1938,2039,2076,1740,2039,2039,2039,2039,2175,2184,1740,2039,2039,2039,1938,2039,2039,2188,1740,2039,2039,2076,1740,2039,2039,1938,1740,2039,2039
1921,1921,1921,1658,1921,1921,1658,1921,1921,1921,1658,1921,1921,1921,1658,1921,1658,1938,1921,1658,1658,1921,1658,1921,1913,1658,1921,1658,2107,1658,1921,2215,1921,1921,1658,1921,2107,1921,1921,1921,1658,1921,1938,1658,1921,1658,1938,1658,1921,1921,1658,1921,1658,1658,1921,1921,1921,1658,1938,1921,1921,1921,1921,1921,1658,1921,1921,1658,1921,1658,2061,1921,1921,1921,1921,1658,1921,1658,1658,1658,1921,1921,1658,1658,1921,1921,1921,1921,1658,1921,1921,1921,1921,1921,1921,1921,1921,1658,1921,1921,1921,1921,1658,1921,1658,1658,1921,1658,1921,1658,1921,1921,1921,1658,1921,1658,1658,1921,1921,1658,1921,1921,1921,1658,1921,1938,1921,1921,1921,1658,1921,1921,1921,1921,1921,1921,1658,1921,1921,1921,1658,1658,1921,1921,1658,1658,1658,1921,1658,1921,1921,1921,1658,1658,1921,1658,1658,1658,1658,1921,1658,1921,1921,1921,1921,1921,1921,1921,1913,1921,1921,1658,1658,1921,1921,1658,1921,1921,1658,1658,1921,1921,1921,1658,2123,1658,1938,1658,1938,1658,1921,1658,1658,1921,1921,1658,1921,1658,1921,1921
1740,1740,2039,2039,1740,1740,1740,1740,1938,1740,1740,2039,1740,1740,1938,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1938,1740,1740,1740,1740,1740,1740,1739,1740,1740,1740,1740,1740,1740,1938,1740,2039,1740,1740,1740,2039,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,2039,2039,1938,1740,1740,1740,1740,1740,1740,1740,1740,1740,1739,1740,1740,1740,1740,2039,1740,1740,1938,1740,1739,2039,2039,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,2039,1740,1740,1740,1740,1740,2039,1740,2039,1740,2039,1740,1740,1740,1740,1938,1740,1740,2039,2039,1739,1740,1740,1740,1740,1740,1740,1740,2039,1740,1740,1938,1740,2039,2039,1740,1740,1740,1740,2039,1740,1740,1739,1740,1938,1740,1740,1740,1740,2039,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,2039,1740,1740,1740,1740,2039,1740,1740,1740,1740,1740,1740,1739,1740,1740,1740,1740,1740,1740,1740,1740
1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1921,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658,1658
1740,1740,1486,1740,1740,1486,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1960,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1486,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,2130,1740,1486,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1486,1740,1740,1740,1740,1486,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
